mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
Demina Mitra Maxima Ekuitas,SH,2.132774126130454,95,2.861015677153798,-0.0485786652467655,0.0524002266398927,-0.0311776248557351,0.4480815994670897,0.8326335463175736,1.954369554094363,0.0805892568164871,100.0,1
Bahana Icon Syariah Kelas G,SH,1.106255354412226,131,4.471727003886336,0.105491011297506,0.0030443495036296,0.0020941161857625,0.2107837561471793,0.3993518824408688,12.90037511115018,0.0516703181015318,74.9,2
Simas Syariah Unggulan,SH,0.9326857593934176,137,3.052771750270107,0.0172865037372801,0.029564961646868,0.0200565720649134,0.049925699590239,0.2893099003831239,1.429427788821781,0.0457951514234812,70.7,3
Sucorinvest Maxi Fund,SH,0.8445523790329086,135,4.331923977866025,0.1920449163274199,0.031464735214638,-0.0124783450112147,0.2542396004031848,0.3657640858965221,7.296111199706845,0.0569172171191886,68.5,4
Jasa Capital Saham Progresif,SH,0.6666176302715405,103,2.387288326674059,-0.0472132637128793,0.0257907842292713,0.0158407617348481,0.0406448526310705,0.2168173076722981,-2.263825349880376,0.0585611606680124,64.1,5
SAM Indonesian Equity Fund,SH,0.6458568004195296,171,4.156710194915664,0.2782754006595191,0.0421456084663567,0.0164163686865346,0.1249179983599999,0.2408605146412468,13.32676389206751,0.0520064345072677,63.6,6
HPAM Ekuitas Syariah Berkah,SH,0.6288710574693849,70,5.247275869724294,0.0471246177756778,0.030350235767883,0.0169572925655423,0.017310437409443,0.2290971858407289,28.80426179933045,0.0606825011730957,63.2,7
Bahana Dana Ekuitas Prima,SH,0.6171348122918427,240,5.444058306114108,0.2652540117897556,0.0080025529094915,-0.0063502633988186,0.2425040592155359,0.3348213581069202,-1.102901288211073,0.0534996708716993,62.9,8
Simas Danamas Saham,SH,0.6131677370594656,220,2.521917741384128,0.0086909025716672,0.0298924847500068,0.0173442367065749,0.0518152751552507,0.164164577108169,5.230130072179079,0.0409972380924172,62.8,9
Bahana Explorer Equity Fund Kelas I,SH,0.5775118535586347,94,5.445869116183435,0.2654983227354401,0.0463967913307744,0.0353263323296605,0.1879537254199999,0.2421204505938779,-1.995094978603791,0.0561947531867013,62.0,10
